Problem,Damage,Regeneration,Tournament_size,alpha,BestScore,WorstScore,MeanScore,StdDev
sfp,0.0,0.0,15,0.5,-68214,-209165,-130887.4,33928.04642721633
sfp,0.0,0.0,15,0.6,-57173,-221901,-138617.36,36346.792294119114
sfp,0.0,0.0,15,0.7,-66861,-199090,-135744.36,29645.0318326284
sfp,0.0,0.0,15,0.8,-116325,-200815,-156366.74,19724.503281617275
sfp,0.0,0.0,15,0.9,-128995,-226961,-167667.34,22058.035372958624
sfp,0.0,0.0,15,1.0,-127411,-209504,-170009.58,20127.57102460732
sfp,0.0,0.0,16,0.0,-121049,-215422,-180014.62,18261.946628127338
sfp,0.0,0.0,16,0.1,-136411,-197726,-166780.8,17578.347411354847
sfp,0.0,0.0,16,0.2,-111379,-208242,-160852.42,18953.957605250485
sfp,0.0,0.0,16,0.3,-92027,-220679,-148511.42,29855.066941564644
sfp,0.0,0.0,16,0.4,-75044,-223867,-142323.22,37731.02875769328
sfp,0.0,0.0,16,0.5,-65822,-205116,-135389.52,37981.569752001065
sfp,0.0,0.0,16,0.6,-72563,-236389,-132184.06,35258.561074399266
sfp,0.0,0.0,16,0.7,-79918,-200481,-146741.32,29471.383691843123
sfp,0.0,0.0,16,0.8,-103715,-234627,-161588.5,31255.25730030331
sfp,0.0,0.0,16,0.9,-125356,-231529,-173989.84,19461.25916743418
sfp,0.0,0.0,16,1.0,-115439,-221957,-180648.06,22464.149316333584
sfp,0.0,0.1,2,0.0,-45779,-97884,-69721.68,11237.087676374631
sfp,0.0,0.1,2,0.1,-48604,-122569,-75883.4,15155.792362078895
sfp,0.0,0.1,2,0.2,-44899,-125841,-69136.04,17344.742058029915
sfp,0.0,0.1,2,0.3,-30925,-106058,-68481.14,17796.45794729378
sfp,0.0,0.1,2,0.4,-31765,-106902,-60705.56,15765.354108607771
sfp,0.0,0.1,2,0.5,-32412,-102285,-60576.62,15393.957552831154
sfp,0.0,0.1,2,0.6,-41633,-115509,-70024.32,16726.683029244512
sfp,0.0,0.1,2,0.7,-46219,-115830,-77887.02,15734.555835044168
sfp,0.0,0.1,2,0.8,-50987,-129182,-89155.52,16139.192321343287
sfp,0.0,0.1,2,0.9,-63016,-153266,-98500.6,15931.576184241336
sfp,0.0,0.1,2,1.0,-51579,-107714,-81588.82,13194.998959392431
sfp,0.0,0.1,3,0.0,-52815,-122523,-85493.6,15361.948146545179
sfp,0.0,0.1,3,0.1,-47255,-145181,-89430.68,20679.701305860097
sfp,0.0,0.1,3,0.2,-53575,-126338,-85791.04,17823.23106139162
sfp,0.0,0.1,3,0.3,-43732,-113356,-77248.96,20074.021886314782
sfp,0.0,0.1,3,0.4,-44856,-136780,-79883,21889.559662178715
sfp,0.0,0.1,3,0.5,-34783,-162854,-78157.88,24972.662869658747
sfp,0.0,0.1,3,0.6,-46620,-127562,-80423.7,18653.034398057116
sfp,0.0,0.1,3,0.7,-62256,-125795,-91994.5,16354.751424997856
sfp,0.0,0.1,3,0.8,-73775,-141993,-106482.54,17369.058740149838
sfp,0.0,0.1,3,0.9,-77131,-193084,-114905,24621.159759815688
sfp,0.0,0.1,3,1.0,-73905,-153187,-104451.4,17552.06882509342
sfp,0.0,0.1,4,0.0,-67357,-131108,-97934.46,16005.840809172489
sfp,0.0,0.1,4,0.1,-65535,-161559,-101169.08,20712.76996606052
sfp,0.0,0.1,4,0.2,-50566,-153751,-97674.06,24005.94611069924
sfp,0.0,0.1,4,0.3,-43248,-145759,-93262.36,20539.440083141984
sfp,0.0,0.1,4,0.4,-51171,-154242,-96688.2,26789.154333004823
sfp,0.0,0.1,4,0.5,-48008,-137404,-82345.36,21996.902990509312
sfp,0.0,0.1,4,0.6,-51953,-133776,-87266.36,19363.943671701185
sfp,0.0,0.1,4,0.7,-55523,-146262,-97440.16,19730.944511624788
sfp,0.0,0.1,4,0.8,-80103,-191272,-122352.02,22907.87759567366
sfp,0.0,0.1,4,0.9,-79354,-207251,-130640.74,23376.451103542782
sfp,0.0,0.1,4,1.0,-81571,-142648,-109606.32,15803.997687797804
sfp,0.0,0.1,5,0.0,-76516,-143518,-105302.38,18076.339273938476
