Problem,Damage,Regeneration,Tournament_size,alpha,BestScore,WorstScore,MeanScore,StdDev
ksp,0.0,0.0,13,0.3,108,-5,81.18,21.3021892139311
ksp,0.0,0.0,13,0.4,115,-15,82.3,22.691587940585077
ksp,0.0,0.0,13,0.5,111,-17,71.96,31.052923882183027
ksp,0.0,0.0,13,0.6,113,-15,62.54,39.46230958206856
ksp,0.0,0.0,13,0.7,107,-17,70.14,31.407142044900734
ksp,0.0,0.0,13,0.8,99,-12,63.2,32.292666760901184
ksp,0.0,0.0,13,0.9,107,-17,65.78,34.05055664982975
ksp,0.0,0.0,13,1.0,104,-14,64.24,37.634959865550975
ksp,0.0,0.0,14,0.0,105,-3,81.94,20.351412727375955
ksp,0.0,0.0,14,0.1,110,-1,87.42,16.425577366921832
ksp,0.0,0.0,14,0.2,117,-20,83.48,21.624098424051375
ksp,0.0,0.0,14,0.3,115,-15,83.94,23.079640290055806
ksp,0.0,0.0,14,0.4,113,56,85.64,13.230700229822629
ksp,0.0,0.0,14,0.5,106,-12,68.1,34.42486642779357
ksp,0.0,0.0,14,0.6,113,-14,60.86,36.300340134460875
ksp,0.0,0.0,14,0.7,112,-13,72.98,30.39031129172854
ksp,0.0,0.0,14,0.8,102,-14,66.9,35.06859168043364
ksp,0.0,0.0,14,0.9,103,-18,66.92,36.42427985925468
ksp,0.0,0.0,14,1.0,118,-17,60.32,40.58271472799568
ksp,0.0,0.0,15,0.0,107,-6,79.6,21.335990480779614
ksp,0.0,0.0,15,0.1,107,-12,81.58,25.511174022376938
ksp,0.0,0.0,15,0.2,113,-11,79.9,21.76427516526539
ksp,0.0,0.0,15,0.3,115,-9,74.76,32.6662529475398
ksp,0.0,0.0,15,0.4,108,-5,73.96,31.395411077651044
ksp,0.0,0.0,15,0.5,118,-14,59.52,42.06323713609483
ksp,0.0,0.0,15,0.6,98,-20,61.6,34.68340778398518
ksp,0.0,0.0,15,0.7,105,-13,60,38.13616848791676
ksp,0.0,0.0,15,0.8,114,-10,66.22,35.82627584352477
ksp,0.0,0.0,15,0.9,113,-24,59.8,42.01214595998716
ksp,0.0,0.0,15,1.0,103,-20,65,34.95711658589707
ksp,0.0,0.0,16,0.0,106,-20,66.82,38.60035423333283
ksp,0.0,0.0,16,0.1,114,-18,68.82,36.49416503542248
ksp,0.0,0.0,16,0.2,121,-17,76.4,29.18414442320154
ksp,0.0,0.0,16,0.3,116,-17,76.74,30.794784875205803
ksp,0.0,0.0,16,0.4,115,-11,76.34,27.82203648703154
ksp,0.0,0.0,16,0.5,107,-26,59.92,39.15059360459094
ksp,0.0,0.0,16,0.6,119,-15,56.38,42.459531753596785
ksp,0.0,0.0,16,0.7,99,-22,56.54,40.36881499982128
