FunctionIndex,Damage,Regeneration,Tournament,Alpha,BestScore,WorstScore,MeanScore,StdDev
1,0.0,0.2,6,0.8,-2200740100144.4956,-4062317048400.3467,-3041572157255.925,461244378721.13934
1,0.0,0.2,6,1.0,-1929279129243.4006,-3877118639712.9985,-2769577686329.387,502763861174.40137
1,0.0,0.2,8,0.0,-1809356667959.5342,-3453001682101.1436,-2479877258777.552,409659223169.96497
1,0.0,0.2,8,0.2,-1882845972038.1958,-4348311685425.1387,-2667520283292.5703,477386308430.33417
1,0.0,0.2,8,0.4,-1933351753358.6567,-3763141262614.7437,-2696559463678.832,440712311084.757
1,0.0,0.2,8,0.6,-2044327721339.3342,-4350684772029.807,-2795984999057.66,472663099253.9907
1,0.0,0.2,8,0.8,-2187440485271.3325,-4648183264678.522,-3142638148640.154,578142059934.0116
1,0.0,0.2,8,1.0,-1991183334175.46,-3887106839376.854,-2927662613230.3477,478039393350.9244
1,0.0,0.2,10,0.0,-1868222585903.1555,-4100590745413.6973,-2792852141721.304,482148590497.99896
1,0.0,0.2,10,0.2,-1802205384896.9731,-4609827643834.782,-2863302641602.4976,561786071559.5756
1,0.0,0.2,10,0.4,-1821665642665.8083,-4252938752884.1343,-2922303234712.8833,528376981682.47565
1,0.0,0.2,10,0.6,-2131101373625.3904,-4223103687261.13,-2956104238733.969,441779509248.3013
1,0.0,0.2,10,0.8,-2241233326905.624,-4561915975649.525,-3270209778094.8584,457277701623.4502
1,0.0,0.2,10,1.0,-2085394584281.9631,-4590424130774.062,-3119714618592.7153,533125890245.31824
1,0.0,0.2,12,0.0,-1752652850726.5813,-4346929113067.395,-2927033686890.8516,522310739988.6878
1,0.0,0.2,12,0.2,-2192263070936.7449,-4177492338788.8574,-3120462654110.6187,487214912350.4914
1,0.0,0.2,12,0.4,-2332444552035.5317,-4417332472590.901,-3216661619092.6865,482935064024.9565
1,0.0,0.2,12,0.6,-1860782232767.137,-4452524631501.472,-2959824742802.6606,529108836417.89154
1,0.0,0.2,12,0.8,-2344415057947.4165,-4805608924528.843,-3235317173668.6113,523348246195.2446
1,0.0,0.2,12,1.0,-1965168426756.139,-4296055142705.394,-3211773809442.738,506309753217.48285
1,0.0,0.2,14,0.0,-2256080495474.971,-4248818643870.8896,-3309558127569.14,478974891005.09674
1,0.0,0.2,14,0.2,-2394922214726.996,-4700391403208.491,-3303290327266.3813,574114106451.3556
1,0.0,0.2,14,0.4,-2126869610803.8699,-4649571909667.747,-3151417263022.242,521877287390.84937
1,0.0,0.2,14,0.6,-2087169263166.2727,-4345679597327.825,-3212687048276.2026,546503252451.78436
1,0.0,0.2,14,0.8,-2473149641861.9844,-4481074884205.596,-3344679419447.452,433351578094.7868
1,0.0,0.2,14,1.0,-2538380728350.7573,-4466579318750.563,-3407946807963.0513,460757583711.9942
1,0.0,0.4,2,0.0,-1005404922671.492,-1903853059323.9624,-1405690306748.1868,214736123304.4792
1,0.0,0.4,2,0.2,-816923731167.3956,-3158222103957.02,-1505661815606.3936,410359103749.4331
1,0.0,0.4,2,0.4,-816088700227.5271,-2637885099993.089,-1641551763873.7158,317619872397.88763
1,0.0,0.4,2,0.6,-1240155619192.4429,-2582416404214.3438,-1775291182938.0635,306375462643.16925
1,0.0,0.4,2,0.8,-1323435015213.7268,-2828904085055.8916,-2027377227770.461,334080335657.98975
1,0.0,0.4,2,1.0,-1222341374544.034,-3475582839782.14,-1809517826916.1453,365056596653.1299
1,0.0,0.4,4,0.0,-1209704403823.284,-2691657416924.344,-1863532357392.0566,380872991897.9269
1,0.0,0.4,4,0.2,-1349565505994.3467,-3397379252929.5483,-2200615513961.4424,528514003313.6633
1,0.0,0.4,4,0.4,-1699213541211.4773,-3887403702870.6816,-2341427925697.182,395740536268.0441
1,0.0,0.4,4,0.6,-1462513887261.759,-3166303893305.4375,-2350457740261.525,386488651115.904
1,0.0,0.4,4,0.8,-1740043847936.7283,-4297285576280.123,-2716703436140.124,544366483731.5154
1,0.0,0.4,4,1.0,-1429694416949.6863,-3294940366656.763,-2311366824216.2354,450444312129.5852
