Problem,Stationary,Selection,Crossover,Mutation,Replacement,BestScore,WorstScore,MeanScore,StdDev
Knapsack,0.1,UniversalRandom,Uniform,SinglePoint,Random,207,172,192.71,6.885707285683919
Knapsack,0.2,UniversalRandom,Uniform,SinglePoint,Random,207,161,188.80666666666667,8.995871715140959
Knapsack,0.3,UniversalRandom,Uniform,SinglePoint,Random,207,157,187.33,8.973427773991252
Knapsack,0.4,UniversalRandom,Uniform,SinglePoint,Random,207,145,184.204,11.1577495378548
Knapsack,0.5,UniversalRandom,Uniform,SinglePoint,Random,207,130,179.60166666666666,15.356411131085732
Knapsack,0.6,UniversalRandom,Uniform,SinglePoint,Random,207,94,174.15428571428572,20.260440786479858
Knapsack,0.7,UniversalRandom,Uniform,SinglePoint,Random,207,83,167.79875,25.873346053080923
Knapsack,0.8,UniversalRandom,Uniform,SinglePoint,Random,207,83,162.95333333333335,28.422015155421235
Knapsack,0.9,UniversalRandom,Uniform,SinglePoint,Random,207,-23,156.605,34.96237037648252
Knapsack,1.0,UniversalRandom,Uniform,SinglePoint,Random,207,-165,130.3909090909091,89.51395349309755
Knapsack,0.0,UniversalRandom,Uniform,SinglePoint,Elitism,206,181,195.3,5.296272750765867
Knapsack,0.1,UniversalRandom,Uniform,SinglePoint,Elitism,208,179,194.885,5.211291856542901
Knapsack,0.2,UniversalRandom,Uniform,SinglePoint,Elitism,208,152,189.43333333333334,10.304667687155073
Knapsack,0.3,UniversalRandom,Uniform,SinglePoint,Elitism,208,152,186.7525,10.899920385536198
Knapsack,0.4,UniversalRandom,Uniform,SinglePoint,Elitism,208,114,181.202,16.11460694879737
Knapsack,0.5,UniversalRandom,Uniform,SinglePoint,Elitism,208,77,173.89166666666668,22.941456971361625
Knapsack,0.6,UniversalRandom,Uniform,SinglePoint,Elitism,208,77,166.55142857142857,28.323118967663273
Knapsack,0.7,UniversalRandom,Uniform,SinglePoint,Elitism,208,71,159.61625,32.61527527346588
Knapsack,0.8,UniversalRandom,Uniform,SinglePoint,Elitism,208,71,154.20333333333335,34.681865607291435
Knapsack,0.9,UniversalRandom,Uniform,SinglePoint,Elitism,208,69,149.86,35.674656005084074
Knapsack,1.0,UniversalRandom,Uniform,SinglePoint,Elitism,208,-161,124.29818181818182,87.85066842145324
Knapsack,0.0,UniversalRandom,Uniform,SinglePoint,DeterministCrowding,162,92,121.13,13.758857569440917
Knapsack,0.1,UniversalRandom,Uniform,SinglePoint,DeterministCrowding,162,82,120.075,13.487361476507921
Knapsack,0.2,UniversalRandom,Uniform,SinglePoint,DeterministCrowding,162,71,118.07666666666667,14.307333370786873
Knapsack,0.3,UniversalRandom,Uniform,SinglePoint,DeterministCrowding,162,71,117.165,14.284007040843166
Knapsack,0.4,UniversalRandom,Uniform,SinglePoint,DeterministCrowding,162,71,116.582,14.345133031218872
Knapsack,0.5,UniversalRandom,Uniform,SinglePoint,DeterministCrowding,162,71,115.20333333333333,14.793694982693037
Knapsack,0.6,UniversalRandom,Uniform,SinglePoint,DeterministCrowding,162,71,113.81428571428572,15.026436272207528
Knapsack,0.7,UniversalRandom,Uniform,SinglePoint,DeterministCrowding,162,62,111.935,15.74764300857137
Knapsack,0.8,UniversalRandom,Uniform,SinglePoint,DeterministCrowding,162,60,110.32444444444444,16.344840029052918
Knapsack,0.9,UniversalRandom,Uniform,SinglePoint,DeterministCrowding,162,60,108.81,16.796905549417012
Knapsack,1.0,UniversalRandom,Uniform,SinglePoint,DeterministCrowding,162,-162,87.19,70.43918698270409
Knapsack,0.0,UniversalRandom,Uniform,SinglePoint,RestrictedTournament,211,184,200.23,6.0216025250507
Knapsack,0.1,UniversalRandom,Uniform,SinglePoint,RestrictedTournament,211,184,199.41,5.710072208222552
Knapsack,0.2,UniversalRandom,Uniform,SinglePoint,RestrictedTournament,211,170,197.50333333333333,7.057100285316361
Knapsack,0.3,UniversalRandom,Uniform,SinglePoint,RestrictedTournament,211,170,197.3525,6.720950206570348
Knapsack,0.4,UniversalRandom,Uniform,SinglePoint,RestrictedTournament,211,170,196.318,7.144716225287031
Knapsack,0.5,UniversalRandom,Uniform,SinglePoint,RestrictedTournament,211,153,194.28333333333333,8.971279841372091
Knapsack,0.6,UniversalRandom,Uniform,SinglePoint,RestrictedTournament,211,150,191.7957142857143,11.101417452116083
Knapsack,0.7,UniversalRandom,Uniform,SinglePoint,RestrictedTournament,211,119,187.57125,16.213914926199735
Knapsack,0.8,UniversalRandom,Uniform,SinglePoint,RestrictedTournament,211,119,184.61888888888888,17.9560171728836
Knapsack,0.9,UniversalRandom,Uniform,SinglePoint,RestrictedTournament,211,79,177.47,27.74149762883559
Knapsack,1.0,UniversalRandom,Uniform,SinglePoint,RestrictedTournament,211,-162,149.42363636363638,92.72121366037007
Knapsack,0.0,Tournament,OnePoint,SinglePoint,Random,149,81,116.44,14.395088949311354
Knapsack,0.1,Tournament,OnePoint,SinglePoint,Random,165,81,121.37,15.483598065218114
